studentName,course,branch,collegeRollNumber,enrollmentNumber,fatherName,motherName,dob,bloodGroup,batch,address,emergencyContact,issueDate,validityDate,studentPhoto,studentSignature,principalSignature
MAYANK Kansal,B.Sc (Physical Science with Computer Science),Physical Science with Computer Science,23/BSCHCS/15620,23116123KEMVBGCS000023,Subhash Kansal,Maya Devi,01-01-2005,O+,2023-2026,"Burari, Delhi-110084",9310256281,14-09-2023,31-03-2026,/mayank.jpg,/sign.png,/sign.png
Tanya Singh,B.Sc (Hons) Zoology,Zoology,23/BSCHCS/15601,23116123KEMVBGCS0000101,Sejal Mehta,Priya Kansal,28-06-2002,B+,2023-2026,"81623 Snyder Mountains, North Patricia, KS 15487",(284)725-6808,14-09-2023,31-03-2026,/photo1.jpg,/sign1.png,/sign.png
Ishita Singh,B.Sc (Hons) Chemistry,Chemistry,23/BSCHCS/15602,23116123KEMVBGCS0000102,Rohit Rastogi,Sughand Gupta,28-04-2004,O-,2023-2026,"58073 Hardy Dam Apt. 808, Rhondaberg, OK 14818",001-740-821-5328x7478,14-09-2023,31-03-2026,/photo2.jpg,/sign2.png,/sign.png
Vikram Bansal,B.Sc (Hons) Mathematics,Mathematics,23/BSCHCS/15603,23116123KEMVBGCS0000103,Tanya Gupta,Priya Singh,23-05-2006,B+,2023-2026,"USNV Howell, FPO AE 66568",(619)353-7101x14909,14-09-2023,31-03-2026,/photo3.jpg,/sign3.png,/sign.png
Aarav Chopra,B.Sc (Hons) Chemistry,Chemistry,23/BSCHCS/15604,23116123KEMVBGCS0000104,Sughand Bansal,Sejal Yadav,10-04-2002,AB+,2023-2026,"PSC 6965, Box 0490, APO AA 83550",529-188-9545x536,14-09-2023,31-03-2026,/photo4.jpg,/sign4.png,/sign.png
Aditya Agarwal,B.Sc (Hons) Botany,Botany,23/BSCHCS/15605,23116123KEMVBGCS0000105,Aditya Kansal,Ankit Kapoor,05-02-2007,A-,2023-2026,"4046 Steven Manor, Stephensontown, DC 09510",001-412-782-6302x06617,14-09-2023,31-03-2026,/photo5.jpg,/sign5.png,/sign.png
Sejal Gupta,B.Sc (Hons) Electronics,Electronics,23/BSCHCS/15606,23116123KEMVBGCS0000106,Tanya Bansal,Kartikay Jain,08-04-2004,A+,2023-2026,"41733 Caleb Grove Suite 592, Lake Danielfort, IA 00788",774.638.4042x4091,14-09-2023,31-03-2026,/photo6.jpg,/sign6.png,/sign.png
Ankit Yadav,B.Sc (Physical Science with Computer Science),Physical Science with Computer Science,23/BSCHCS/15607,23116123KEMVBGCS0000107,Aarav Kansal,Ishita Mehta,27-03-2004,B+,2023-2026,"07812 Gilmore Mission, Brianaville, VA 15955",398-626-8935x4446,14-09-2023,31-03-2026,/photo7.jpg,/sign7.png,/sign.png
Kartikay Chopra,B.Sc (Hons) Botany,Botany,23/BSCHCS/15608,23116123KEMVBGCS0000108,Neha Chopra,Vikram Rana,06-02-2007,O-,2023-2026,"838 Kenneth Pike, South Darylbury, NY 88521",029-295-0535x8813,14-09-2023,31-03-2026,/photo8.jpg,/sign8.png,/sign.png
Sneha Singh,B.Sc (Physical Science with Computer Science),Physical Science with Computer Science,23/BSCHCS/15609,23116123KEMVBGCS0000109,Ishita Gupta,Kartikay Agarwal,31-03-2005,B-,2023-2026,"6209 Jordan Groves Suite 478, South Robertbury, SD 14705",(295)287-3749x8668,14-09-2023,31-03-2026,/photo9.jpg,/sign9.png,/sign.png
Priya Verma,B.Sc (Physical Science with Computer Science),Physical Science with Computer Science,23/BSCHCS/15610,23116123KEMVBGCS0000110,Ankit Agarwal,Aditya Verma,18-11-2006,B-,2023-2026,"3787 Amanda Unions, Carlsonchester, KS 27053",001-193-770-0309x3145,14-09-2023,31-03-2026,/photo10.jpg,/sign10.png,/sign.png

