studentName,course,collegeRollNumber,fatherName,motherName,dob,bloodGroup,batch,address,emergencyContact,issueDate,validityDate
Riaan Bhakta,B.Sc (Hons) Zoology - Zoology and Physical Science,23/BSCHCS/15600,Renee Khurana,Drishya Srivastava,04-06-2002,B-,2023-2026,"H.No. 620, Kanda Circle, Patiala 918792",7741930883,14-09-2023,31-03-2026
Abram Soman,B.Sc (Hons) Mathematics - Mathematics,23/BSCHCS/15601,Fateh Gill,Shray Bahl,05-01-2002,B+,2023-2026,"316, Sekhon Zila, Ahmednagar 950114",9752590835,14-09-2023,31-03-2026
Tejas Singhal,B.Sc (Hons) Chemistry - Chemistry,23/BSCHCS/15602,Indrans Sabharwal,Charvi Bains,18-05-2002,A+,2023-2026,"34, Bora Nagar, Jaunpur-027357",+913376328221,14-09-2023,31-03-2026
Shlok Gola,B.Sc (Hons) Chemistry - Chemistry,23/BSCHCS/15603,Dishani Dey,Veer Badami,12-09-2003,AB+,2023-2026,"80/15, Sura Street, Coimbatore 080338",+914065003128,14-09-2023,31-03-2026
Zeeshan Talwar,B.Sc (Hons) Electronics - Electronics,23/BSCHCS/15604,Anahita Shukla,Umang Loke,04-09-2002,B-,2023-2026,"74/71, Jain Street, Bathinda 308288",+910565908417,14-09-2023,31-03-2026
Sahil Lall,B.Sc (Hons) Electronics - Electronics,23/BSCHCS/15605,Miraya Sampath,Yuvraj  Dutta,17-12-2004,B-,2023-2026,"78, Chander Ganj, Tenali-032376",+919576221749,14-09-2023,31-03-2026
Nehmat Banerjee,B.Sc (Hons) Electronics - Electronics,23/BSCHCS/15606,Purab Chadha,Miraan Dhawan,12-03-2005,O+,2023-2026,"H.No. 889, Sinha Street, Sambhal-648899",00359869062,14-09-2023,31-03-2026
Vivaan Sanghvi,B.Sc (Hons) Mathematics - Mathematics,23/BSCHCS/15607,Kismat Dhawan,Neelofar Venkatesh,27-05-2003,B-,2023-2026,"H.No. 425, Sama Marg, Chapra-100683",05287722853,14-09-2023,31-03-2026
Sahil Upadhyay,B.Sc (Hons) Electronics - Electronics,23/BSCHCS/15608,Anahita Amble,Aradhya Ray,27-07-2005,AB+,2023-2026,"73/731, Tripathi Circle, Avadi 626540",+913130290798,14-09-2023,31-03-2026
Tiya Randhawa,B.Sc (Hons) Electronics - Electronics,23/BSCHCS/15609,Jivin Saha,Anvi Sinha,01-01-2003,A+,2023-2026,"H.No. 18, Dhawan Ganj, Shahjahanpur-541445",09311029587,14-09-2023,31-03-2026
Onkar Sanghvi,B.Sc (Hons) Botany - Botany,23/BSCHCS/15610,Zain Zacharia,Kismat Sagar,30-08-2007,B+,2023-2026,"61/565, Sankar Ganj, Tadepalligudem-824951",3114741856,14-09-2023,31-03-2026
Bhavin Datta,B.Sc (Hons) Chemistry - Chemistry,23/BSCHCS/15611,Mamooty Karan,Ela Kurian,13-07-2004,A+,2023-2026,"635, Dutta Ganj, Sultan Pur Majra-412780",+919855597352,14-09-2023,31-03-2026
Divit Garg,B.Sc (Hons) Chemistry - Chemistry,23/BSCHCS/15612,Reyansh Bedi,Umang Kant,12-02-2006,AB+,2023-2026,"04, Saxena Street, Madhyamgram-487654",+913498255965,14-09-2023,31-03-2026
Aarav Devi,B.Sc (Physical Science with Computer Science) - Physical Science with Computer Science,23/BSCHCS/15613,Lakshit Gulati,Kavya Bhatnagar,02-11-2002,AB+,2023-2026,"88/44, Ratta Road, Jalna 486451",1474640968,14-09-2023,31-03-2026
Vritika Vyas,B.Sc (Hons) Mathematics - Mathematics,23/BSCHCS/15614,Ojas Date,Aaryahi Rajagopal,19-07-2001,AB+,2023-2026,"521, Ravi Ganj, Gulbarga 065775",09747890021,14-09-2023,31-03-2026
Kanav Saxena,B.Sc (Hons) Zoology - Zoology,23/BSCHCS/15615,Eshani Krishnan,Jayant Ratti,09-07-2001,AB+,2023-2026,"H.No. 58, Chand, Bhavnagar 291148",04139101069,14-09-2023,31-03-2026
Jivin Chana,B.Sc (Hons) Electronics - Electronics,23/BSCHCS/15616,Indrans Andra,Jivin Batta,19-11-2002,AB+,2023-2026,"48/132, Chandran Road, Srinagar 613888",06238174373,14-09-2023,31-03-2026
Hrishita Wason,B.Sc (Hons) Chemistry - Chemistry,23/BSCHCS/15617,Myra Bajwa,Rati Gill,01-02-2008,O+,2023-2026,"11/51, Sura Marg, Vasai-Virar-199239",06384876543,14-09-2023,31-03-2026
Samar Gulati,B.Sc (Hons) Electronics - Electronics,23/BSCHCS/15618,Purab Sachdeva,Dhruv Lata,16-09-2001,O+,2023-2026,"94/41, Dasgupta Road, Guntur 842634",+912096425949,14-09-2023,31-03-2026
Vaibhav Manne,B.Sc (Hons) Electronics - Electronics,23/BSCHCS/15619,Aarav Bhalla,Vedika Chada,02-12-2005,O+,2023-2026,"H.No. 557, Kalita Path, Baranagar-023623",8172742194,14-09-2023,31-03-2026
Riaan Bhakta,B.Sc (Hons) Zoology - Zoology,23/BSCHCS/15600,Renee Khurana,Drishya Srivastava,04-06-2002,B-,2023-2026,"H.No. 620, Kanda Circle, Patiala 918792",7741930883,14-09-2023,31-03-2026
Abram Soman,B.Sc (Hons) Mathematics - Mathematics,23/BSCHCS/15601,Fateh Gill,Shray Bahl,05-01-2002,B+,2023-2026,"316, Sekhon Zila, Ahmednagar 950114",9752590835,14-09-2023,31-03-2026
Tejas Singhal,B.Sc (Hons) Chemistry - Chemistry,23/BSCHCS/15602,Indrans Sabharwal,Charvi Bains,18-05-2002,A+,2023-2026,"34, Bora Nagar, Jaunpur-027357",+913376328221,14-09-2023,31-03-2026
Shlok Gola,B.Sc (Hons) Chemistry - Chemistry,23/BSCHCS/15603,Dishani Dey,Veer Badami,12-09-2003,AB+,2023-2026,"80/15, Sura Street, Coimbatore 080338",+914065003128,14-09-2023,31-03-2026
Zeeshan Talwar,B.Sc (Hons) Electronics - Electronics,23/BSCHCS/15604,Anahita Shukla,Umang Loke,04-09-2002,B-,2023-2026,"74/71, Jain Street, Bathinda 308288",+910565908417,14-09-2023,31-03-2026
Sahil Lall,B.Sc (Hons) Electronics - Electronics,23/BSCHCS/15605,Miraya Sampath,Yuvraj  Dutta,17-12-2004,B-,2023-2026,"78, Chander Ganj, Tenali-032376",+919576221749,14-09-2023,31-03-2026
Nehmat Banerjee,B.Sc (Hons) Electronics - Electronics,23/BSCHCS/15606,Purab Chadha,Miraan Dhawan,12-03-2005,O+,2023-2026,"H.No. 889, Sinha Street, Sambhal-648899",00359869062,14-09-2023,31-03-2026
Vivaan Sanghvi,B.Sc (Hons) Mathematics - Mathematics,23/BSCHCS/15607,Kismat Dhawan,Neelofar Venkatesh,27-05-2003,B-,2023-2026,"H.No. 425, Sama Marg, Chapra-100683",05287722853,14-09-2023,31-03-2026
Sahil Upadhyay,B.Sc (Hons) Electronics - Electronics,23/BSCHCS/15608,Anahita Amble,Aradhya Ray,27-07-2005,AB+,2023-2026,"73/731, Tripathi Circle, Avadi 626540",+913130290798,14-09-2023,31-03-2026
Tiya Randhawa,B.Sc (Hons) Electronics - Electronics,23/BSCHCS/15609,Jivin Saha,Anvi Sinha,01-01-2003,A+,2023-2026,"H.No. 18, Dhawan Ganj, Shahjahanpur-541445",09311029587,14-09-2023,31-03-2026
Onkar Sanghvi,B.Sc (Hons) Botany - Botany,23/BSCHCS/15610,Zain Zacharia,Kismat Sagar,30-08-2007,B+,2023-2026,"61/565, Sankar Ganj, Tadepalligudem-824951",3114741856,14-09-2023,31-03-2026
